extension,type
.3gp,Audio
.aa,Audio
.aac,Audio
.aax,Audio
.act,Audio
.aiff,Audio
.alac,Audio
.amr,Audio
.ape,Audio
.au,Audio
.awb,Audio
.dct,Audio
.dss,Audio
.dvf,Audio
.flac,Audio
.gsm,Audio
.iklax,Audio
.ivs,Audio
.m4a,Audio
.m4b,Audio
.m4p,Audio
.mmf,Audio
.mp3,Audio
.mpc,Audio
.msv,Audio
.nmf,Audio
.nsf,Audio
.ogg,Audio
.oga,Audio
.mogg,Audio
.opus,Audio
.ra,Audio
.rm,Audio
.raw,Audio
.sln,Audio
.tta,Audio
.voc,Audio
.vox,Audio
.wav,Audio
.wma,Audio
.wv,Audio
.webm,Audio
.8svx,Audio
.3GPP,Video
.3g2,Video
.asf,Video
.wmv,Video
.avi,Video
.divx,Video
.evo,Video
.f4v,Video
.flv,Video
.mkv,Video
.mk3d,Video
.mp4,Video
.mpg,Video
.mpeg,Video
.m2p,Video
.ps,Video
.ts,Video
.m2ts,Video
.mxf,Video
.mov,Video
.qt,Video
.rmvb,Video
.vob,Video
.webm,Video
.doc,Documents
.docx,Documents
.docm,Documents
.epub,Documents
.log,Documents
.mobi,Documents
.odm,Documents
.odt,Documents
.ott,Documents
.odm,Documents
.pages,Documents
.rtf,Documents
.txt,Documents
.pdf,Documents
.info,Documents
.csv,Documents
.ods,Documents
.ots,Documents
.xlk,Documents
.xls,Documents
.xlsb,Documents
.xlsm,Documents
.xslx,Documents
.xlt,Documents
.xltm,Documents
.xlw,Documents
.ppt,Documents
.pptx,Documents
.one,Documents
.onetoc2,Documents
.onepkg,Documents
.accdb,Documents
.mdb,Documents
.adp,Documents
.mda,Documents
.accda,Documents
.mde,Documents
.accde,Documents
.ade,Documents
.zip,Archive
.7z,Archive
.pst,Archive
.wim,Archive
.iso,Archive
.tar,Archive
.gz,Archive
.cab,Archive
.pea,Archive
